Condition,Mach,Velocity (m/s),Pressure (Pa),Temperature (K),Density (kg/m^3)
Upstream,28.0,9443.475614412311,48.13,283.0,0.0005923743343019571
Downstream,43.43152085493447,864.6108447363387,48038.92218058464,25869.55322740886,0.006470046743734934
